target_id	length	eff_length	est_counts	tpm
Smic450	1506	1286.7	116	6.14294
Smic451	2376	2156.7	0	0
Smic452	285	87.1725	0	0
Smic453	5406	5186.7	96	1.26117
Smic454	222	43.8425	50	77.7085
Smic455	7725	7505.7	471	4.27587
Smic456	1506	1286.7	85	4.50129
Smic457	972	752.928	0	0
Smic458	1440	1220.7	78	4.35393
Smic459	1836	1616.7	245	10.326
Smic460	225	45.7596	0	0
Smic461	5013	4793.7	1	0.0142142
Smic462	828	609.464	46	5.14285
Smic463	633	415.554	0	0
Smic464	2460	2240.7	3	0.0912289
Smic465	3531	3311.7	0	0
Smic466	1116	896.697	4	0.303955
Smic467	3273	3053.7	0	0
Smic468	426	211.573	0	0
Smic469	13743	13523.7	1240	6.24771
Smic470	9507	9287.7	1148.97	8.42933
Smic471	327	121.671	27	15.1206
Smic472	573	356.052	18	3.44472
Smic473	4731	4511.7	253	3.82098
Smic474	975	755.928	154	13.8814
Smic475	1473	1253.7	555	30.1644
Smic476	498	281.617	9	2.1776
Smic477	5331	5111.7	565	7.53144
Smic478	2691	2471.7	30	0.827028
Smic479	984	764.852	28	2.49445
Smic480	6744	6524.7	405	4.2295
Smic481	1455	1235.7	0	0
Smic482	867	648.338	0	0
Smic483	2382	2162.7	11	0.34657
Smic484	1938	1718.7	146	5.78826
Smic485	3915	3695.7	523	9.64272
Smic486	2058	1838.7	95	3.52053
Smic487	1806	1586.7	641	27.527
Smic488	861	642.338	42	4.45533
Smic489	474	257.885	53	14.0038
Smic490	2007	1787.7	118	4.49762
Smic491	2082	1862.7	40	1.46323
Smic492	1413	1193.7	108	6.16487
Smic493	8466	8246.7	654.946	5.41152
Smic494	14310	14090.7	299.07	1.44622
Smic495	5127	4907.7	0	0
Smic496	13125	12905.7	0	0
Smic497	4479	4259.7	33.7656	0.54012
Smic498	1596	1376.7	367	18.1644
Smic499	330	124.17	3	1.64626
Smic500	1125	905.697	0	0
Smic501	1857	1637.7	75	3.12049
Smic502	16107	15887.7	1801.64	7.72682
Smic503	4314	4094.7	18	0.299533
Smic504	3288	3068.7	102	2.26486
Smic505	1329	1109.7	49	3.00875
Smic506	1881	1661.7	86	3.52648
Smic507	2289	2069.7	447	14.7162
Smic508	1611	1391.7	28	1.37091
Smic509	1725	1505.7	11	0.497794
Smic510	1308	1088.7	40	2.5035
Smic511	1209	989.697	23	1.58351
Smic512	747	528.792	338	43.5538
Smic513	5724	5504.7	0	0
Smic514	3651	3431.7	62	1.23105
Smic515	2010	1790.7	743	28.2723
Smic516	2064	1844.7	52	1.92076
Smic517	2844	2624.7	40	1.03843
Smic518	2748	2528.7	151	4.06888
Smic519	3213	2993.7	75.1073	1.7095
Smic520	684	466.195	44	6.43101
Smic521	441	226.066	57	17.1804
Smic522	3384	3164.7	47	1.01195
Smic523	1188	968.697	83	5.83828
Smic524	462	246.24	1	0.276717
Smic525	6165	5945.7	100	1.14602
Smic526	5847	5627.7	687	8.31803
Smic527	1050	830.697	77	6.31601
Smic528	2442	2222.7	35	1.07296
Smic529	561	344.052	15	2.97072
Smic530	1425	1205.7	430	24.301
Smic531	246	59.3136	0	0
Smic532	489	272.701	26	6.49653
Smic533	456	240.436	83	23.5219
Smic534	432	217.313	65	20.3809
Smic535	8496	8276.7	816	6.71781
Smic536	4875	4655.7	0	0
Smic537	2493	2273.7	307	9.20026
Smic538	1578	1358.7	16	0.802402
Smic539	7122	6902.7	0	0
Smic540	1416	1196.7	0	0
Smic541	1305	1085.7	0	0
Smic542	1560	1340.7	37	1.88047
Smic543	708	490.147	22	3.05837
Smic544	351	142.715	0	0
Smic545	846	627.402	8	0.868837
Smic546	2718	2498.7	123	3.35418
Smic547	3756	3536.7	44	0.847714
Smic548	3294	3074.7	25	0.554028
Smic549	5394	5174.7	736	9.69142
Smic550	1167	947.697	153	11.0006
Smic551	1737	1517.7	192	8.62007
Smic552	780	561.524	51	6.18866
Smic553	207	34.3464	0	0
Smic554	381	169.153	7	2.81976
Smic555	6390	6170.7	269	2.97038
Smic556	7365	7145.7	41	0.390961
Smic557	1653	1433.7	60	2.8516
Smic558	3390	3170.7	0	0
Smic559	3777	3557.7	0	0
Smic560	2037	1817.7	74	2.77399
Smic561	1872	1652.7	33	1.36055
Smic562	558	341.086	60	11.9862
Smic563	2064	1844.7	345	12.7435
Smic564	1512	1292.7	0	0
Smic565	3495	3275.7	0	0
Smic566	1839	1619.7	32	1.3462
Smic567	3816	3596.7	317	6.00551
Smic568	2835	2615.7	4	0.1042
Smic569	2202	1982.7	36	1.2372
Smic570	3498	3278.7	0	0
Smic571	525	308.41	0	0
Smic572	615	397.676	0	0
Smic573	817	598.464	0	0
Smic574	1284	1064.7	6	0.38399
Smic575	2310	2090.7	0	0
Smic576	2280	2060.7	0	0
Smic577	1422	1202.7	0	0
Smic578	7095	6875.7	0	0
Smic579	2202	1982.7	0	0
Smic580	1212	992.697	0	0
Smic581	4698	4478.7	0	0
Smic582	3690	3470.7	0	0
Smic583	543	326.219	2	0.417748
Smic584	1215	995.697	237	16.2187
Smic585	384	171.909	114	45.1856
Smic586	906	687.139	5	0.495815
Smic587	2592	2372.7	0	0
Smic588	2601	2381.7	2	0.0572187
Smic589	720	501.947	0	0
Smic590	1254	1034.7	247	16.2659
Smic591	603	385.753	1	0.176638
Smic592	1710	1490.7	341	15.5869
Smic593	7533	7313.7	0	0
Smic594	1077	857.697	0	0
Smic595	276	80.4631	0	0
Smic596	1209	989.697	33	2.27199
Smic597	2625	2405.7	165.262	4.68087
Smic598	558	341.086	29	5.79334
Smic599	2112	1892.7	595	21.4205
Smic600	1500	1280.7	160	8.51271
Smic601	447	231.65	52	15.2956
Smic602	1881	1661.7	80	3.28044
Smic603	1308	1088.7	54	3.37972
Smic604	1581	1361.7	20	1.00079
Smic605	498	281.617	43	10.4041
Smic606	3375	3155.7	43	0.928469
Smic607	5715	5495.7	260	3.22363
Smic608	2841	2621.7	0	0
Smic609	4890	4670.7	117	1.70686
Smic610	774	555.524	34	4.17033
Smic611	459	243.363	27	7.55969
